author,content,language,tag,sentiment,confidence,createdAt
anna_k,"Доставка приехала вовремя, упаковка целая, все отлично.",ru,доставка,POSITIVE,0.94,2026-05-12T09:10:00Z
igor77,"Товар нормальный, но инструкция написана очень непонятно.",ru,инструкция,NEUTRAL,0.62,2026-05-12T09:18:00Z
marina_s,"Поддержка ответила быстро и реально помогла решить вопрос.",ru,поддержка,POSITIVE,0.91,2026-05-12T09:26:00Z
user_104,"Заказ задержали на два дня, никто заранее не предупредил.",ru,доставка,NEGATIVE,0.89,2026-05-12T09:34:00Z
oleg_m,"Цена хорошая, качество пока сложно оценить.",ru,цена,AMBIGUOUS,0.57,2026-05-12T09:42:00Z
svetlana,"После обновления приложение стало работать заметно быстрее.",ru,приложение,POSITIVE,0.88,2026-05-12T09:50:00Z
nikita_dev,"Функция экспорта не открывается, появляется ошибка.",ru,экспорт,NEGATIVE,0.86,2026-05-12T09:58:00Z
katya,"Интерфейс приятный, но кнопку сохранения нашла не сразу.",ru,интерфейс,AMBIGUOUS,0.64,2026-05-12T10:06:00Z
alex_p,"Все пришло как в описании, буду заказывать еще.",ru,качество,POSITIVE,0.93,2026-05-12T10:14:00Z
roman,"Слишком долго грузится страница проекта.",ru,производительность,NEGATIVE,0.82,2026-05-12T10:22:00Z
elena_q,"Хотелось бы больше фильтров по источникам данных.",ru,фильтры,NEUTRAL,0.68,2026-05-12T10:30:00Z
guest_12,"Служба поддержки сначала прислала шаблонный ответ, потом исправилась.",ru,поддержка,AMBIGUOUS,0.61,2026-05-12T10:38:00Z
